Entrada,Departamento,Prioridad
"Realizar encuestas de clima laboral a los empleados.",Recursos Humanos,0.7
"Analizar la variacion del presupuesto con respecto a los gastos reales.",Finanzas y Contabilidad,0.8
"Responder a las preguntas de los clientes en el chat en vivo del sitio web.",Atencion al Cliente,0.8
"Disenar una campana publicitaria para un nuevo producto en Google Ads.",Ventas y Marketing,0.85
"Mejorar la eficiencia del proceso de despacho de pedidos.",Operaciones o Produccion,0.8
"Implementar un sistema de videoconferencia para las reuniones virtuales.",Tecnologia de la Informacion,0.9
"Buscar nuevos proveedores de servicios de mensajeria para la empresa.",Compras y Abastecimiento,0.8
"Investigar nuevas tecnologias para la fabricacion de productos mas sostenibles.",Investigacion y Desarrollo,0.85
"Asegurar el cumplimiento de las leyes de propiedad intelectual.",Legal y Cumplimiento,0.9
"Desarrollar un programa de reconocimiento para los empleados destacados.",Recursos Humanos,0.8
"Realizar el analisis de rentabilidad de un nuevo proyecto.",Finanzas y Contabilidad,0.9
"Gestionar las quejas de los clientes por correo electronico.",Atencion al Cliente,0.8
"Crear contenido para las redes sociales de la empresa.",Ventas y Marketing,0.75
"Coordinar la logistica para el envio de productos a un cliente internacional.",Operaciones o Produccion,0.85
"Realizar un analisis de riesgos financieros para un nuevo proyecto.",Finanzas y Contabilidad,0.9
"Responder a las consultas de los clientes sobre la garantia de los productos.",Atencion al Cliente,0.8
"Desarrollar una estrategia de marketing de contenidos para el blog de la empresa.",Ventas y Marketing,0.8
"Calibrar los equipos de medicion en la linea de produccion.",Operaciones o Produccion,0.9
"Configurar un nuevo firewall para la red de la empresa.",Tecnologia de la Informacion,0.95
"Negociar un acuerdo de descuento por volumen con un proveedor de embalaje.",Compras y Abastecimiento,0.8
"Investigar nuevas tecnicas de fabricacion aditiva para prototipos.",Investigacion y Desarrollo,0.85
"Actualizar las politicas de la empresa sobre el uso de redes sociales por los empleados.",Legal y Cumplimiento,0.8
"Publicar anuncios de empleo en plataformas especializadas.",Recursos Humanos,0.8
"Realizar el seguimiento de los pagos pendientes de los clientes.",Finanzas y Contabilidad,0.9
"Gestionar las solicitudes de cambio de direccion de los clientes.",Atencion al Cliente,0.8
"Crear un catalogo de productos para la tienda online.",Ventas y Marketing,0.85
"Implementar un sistema de gestion de la calidad en la produccion.",Operaciones o Produccion,0.9
"Realizar pruebas de penetracion en la seguridad de la red.",Tecnologia de la Informacion,0.95
"Evaluar la viabilidad de comprar nuevos equipos de transporte.",Compras y Abastecimiento,0.8
"Desarrollar un modelo predictivo para la demanda de productos.",Investigacion y Desarrollo,0.9
"Revisar y actualizar los acuerdos de confidencialidad con los proveedores.",Legal y Cumplimiento,0.9
"Organizar un programa de bienestar para los empleados.",Recursos Humanos,0.85
"Elaborar el informe de impuestos sobre la renta de la empresa.",Finanzas y Contabilidad,0.9
"Responder a las preguntas de los clientes sobre el funcionamiento de la aplicacion movil.",Atencion al Cliente,0.8
"Disenar una campana de publicidad en linea para un nuevo servicio.",Ventas y Marketing,0.8
"Optimizar el proceso de carga y descarga de mercancias.",Operaciones o Produccion,0.8
"Implementar un sistema de gestion de incidentes de seguridad informatica.",Tecnologia de la Informacion,0.9
"Buscar nuevos proveedores de servicios de mantenimiento para los equipos de oficina.",Compras y Abastecimiento,0.75
"Investigar nuevas formas de reducir el impacto ambiental de los productos.",Investigacion y Desarrollo,0.8
"Asegurar el cumplimiento de las leyes de proteccion al consumidor.",Legal y Cumplimiento,0.9
"Gestionar las solicitudes de permisos de ausencia de los empleados.",Recursos Humanos,0.7
"Preparar el informe de perdidas y ganancias del mes.",Finanzas y Contabilidad,0.85
"Resolver problemas de acceso a la cuenta de los clientes.",Atencion al Cliente,0.8
"Crear un video tutorial sobre el uso de un nuevo producto.",Ventas y Marketing,0.8
"Ajustar la configuracion de las maquinas para reducir el desperdicio de materiales.",Operaciones o Produccion,0.8
"Realizar una auditoria de seguridad de los sistemas de informacion.",Tecnologia de la Informacion,0.9
"Solicitar cotizaciones a varios proveedores para la compra de mobiliario de oficina.",Compras y Abastecimiento,0.75
"Realizar pruebas de usabilidad de un nuevo producto.",Investigacion y Desarrollo,0.8
"Revisar y actualizar los contratos de arrendamiento de las oficinas.",Legal y Cumplimiento,0.9
"Realizar encuestas de satisfaccion a los clientes.",Recursos Humanos,0.7
"Analizar la variacion del tipo de cambio en los costos de importacion.",Finanzas y Contabilidad,0.8
"Responder a las preguntas de los clientes en el foro de la comunidad en linea.",Atencion al Cliente,0.8
"Disenar una campana publicitaria en redes sociales para un evento de la empresa.",Ventas y Marketing,0.85
"Mejorar la eficiencia del proceso de embalaje de productos fragiles.",Operaciones o Produccion,0.8
"Implementar un sistema de autenticacion de dos factores para los empleados.",Tecnologia de la Informacion,0.9
"Buscar nuevos proveedores de servicios de transporte para la distribucion de productos.",Compras y Abastecimiento,0.8
"Investigar nuevas tecnologias para la produccion de energia renovable.",Investigacion y Desarrollo,0.85
"Asegurar el cumplimiento de las leyes de propiedad industrial.",Legal y Cumplimiento,0.9
"Desarrollar un programa de tutoria para los nuevos empleados.",Recursos Humanos,0.8
"Realizar el analisis de la rentabilidad de una nueva linea de productos.",Finanzas y Contabilidad,0.9
"Gestionar las quejas de los clientes por chat en vivo.",Atencion al Cliente,0.8
"Crear contenido para el podcast de la empresa.",Ventas y Marketing,0.75
"Coordinar la logistica para la entrega de productos a clientes en zonas remotas.",Operaciones o Produccion,0.85
"Realizar un analisis de la eficiencia de los procesos de facturacion.",Finanzas y Contabilidad,0.9
"Responder a las consultas de los clientes sobre los terminos y condiciones de los contratos.",Atencion al Cliente,0.8
"Desarrollar una campana de marketing en redes sociales para promocionar un evento.",Ventas y Marketing,0.8
"Realizar el mantenimiento preventivo de los sistemas de refrigeracion en la produccion.",Operaciones o Produccion,0.9
"Configurar un sistema de deteccion de intrusos en la red.",Tecnologia de la Informacion,0.95
"Negociar un acuerdo de compra de materias primas con un proveedor extranjero.",Compras y Abastecimiento,0.8
"Investigar nuevas tecnicas de nanotecnologia para la fabricacion de materiales avanzados.",Investigacion y Desarrollo,0.85
"Actualizar las politicas de la empresa sobre el uso de dispositivos moviles en el trabajo.",Legal y Cumplimiento,0.8
"Publicar ofertas de empleo en redes sociales profesionales.",Recursos Humanos,0.8
"Realizar el seguimiento de los pagos realizados por clientes con retraso.",Finanzas y Contabilidad,0.9
"Gestionar las solicitudes de cambio de contrasena de los clientes.",Atencion al Cliente,0.8
"Crear un catalogo de productos para la aplicacion movil.",Ventas y Marketing,0.85
"Implementar un sistema de gestion de la seguridad de la informacion.",Operaciones o Produccion,0.9
"Realizar pruebas de seguridad en los sistemas de almacenamiento en la nube.",Tecnologia de la Informacion,0.95
"Evaluar la viabilidad de la compra de nuevos equipos de transporte pesado.",Compras y Abastecimiento,0.8
"Desarrollar un modelo de simulacion para la optimizacion de la cadena de suministro.",Investigacion y Desarrollo,0.9
"Revisar y actualizar los acuerdos de franquicia con socios comerciales.",Legal y Cumplimiento,0.9
"Organizar un programa de reconocimiento para los empleados por su innovacion.",Recursos Humanos,0.85
"Elaborar el informe de flujo de efectivo proyectado para el proximo ano.",Finanzas y Contabilidad,0.9
"Responder a las preguntas de los clientes sobre la garantia de los productos electronicos.",Atencion al Cliente,0.8
"Disenar una campana de publicidad en linea para un nuevo servicio de suscripcion.",Ventas y Marketing,0.8
"Optimizar el proceso de almacenamiento de productos quimicos en el almacen.",Operaciones o Produccion,0.8
"Implementar un sistema de autenticacion multifactor para el acceso a datos sensibles.",Tecnologia de la Informacion,0.9
"Buscar nuevos proveedores de servicios de seguros para la empresa.",Compras y Abastecimiento,0.75
"Investigar nuevas formas de reducir la contaminacion del aire en la produccion.",Investigacion y Desarrollo,0.8
"Asegurar el cumplimiento de las normas de seguridad en la construccion.",Legal y Cumplimiento,0.9
"Gestionar las solicitudes de permisos por enfermedad de los empleados.",Recursos Humanos,0.7
"Preparar el informe de resultados financieros anual.",Finanzas y Contabilidad,0.85
"Resolver problemas de acceso a la cuenta de los clientes en la aplicacion movil.",Atencion al Cliente,0.8
"Crear un video promocional sobre los beneficios de un nuevo producto.",Ventas y Marketing,0.8
"Ajustar la configuracion de las maquinas para reducir el consumo de agua.",Operaciones o Produccion,0.8
"Realizar una auditoria de seguridad de los sistemas de comunicacion interna.",Tecnologia de la Informacion,0.9
"Solicitar cotizaciones a varios proveedores para la compra de equipos de seguridad industrial.",Compras y Abastecimiento,0.75
"Realizar pruebas de viabilidad tecnica para un nuevo producto.",Investigacion y Desarrollo,0.8
"Revisar y actualizar los acuerdos de confidencialidad con los empleados.",Legal y Cumplimiento,0.9
"Realizar encuestas de satisfaccion a los proveedores.",Recursos Humanos,0.7
"Analizar la variacion del precio del petroleo en los costos de transporte.",Finanzas y Contabilidad,0.8
"Responder a las preguntas de los clientes en el foro de la comunidad de usuarios.",Atencion al Cliente,0.8
"Disenar una campana publicitaria en medios digitales para un evento de lanzamiento.",Ventas y Marketing,0.85
"Mejorar la eficiencia del proceso de carga y descarga de contenedores en el puerto.",Operaciones o Produccion,0.8
"Implementar un sistema de gestion de parches para los sistemas operativos.",Tecnologia de la Informacion,0.9
"Buscar nuevos proveedores de servicios de almacenamiento en la nube para la empresa.",Compras y Abastecimiento,0.8
"Investigar nuevas tecnologias para la produccion de materiales reciclados.",Investigacion y Desarrollo,0.85
"Asegurar el cumplimiento de las leyes de propiedad intelectual en el ambito digital.",Legal y Cumplimiento,0.9
"Desarrollar un programa de formacion para los empleados sobre nuevas normativas.",Recursos Humanos,0.8
"Realizar el analisis de la rentabilidad de un nuevo proyecto de expansion.",Finanzas y Contabilidad,0.9
"Gestionar las quejas de los clientes por mensajeria instantanea.",Atencion al Cliente,0.8
"Crear contenido para el podcast corporativo.",Ventas y Marketing,0.75
"Realizar una evaluacion de clima laboral para identificar areas de mejora.",Recursos Humanos,0.78
"Preparar el informe de ingresos y gastos para la junta directiva.",Finanzas y Contabilidad,0.89
"Disenar una campana de marketing en TikTok para llegar a un publico mas joven.",Ventas y Marketing,0.83
"Optimizar el proceso de almacenamiento para reducir costos logisticos.",Operaciones o Produccion,0.85
"Implementar un sistema de gestion de contrasenas para mejorar la seguridad.",Tecnologia de la Informacion,0.91
"Atender las quejas de los clientes sobre el tiempo de entrega de los productos.",Atencion al Cliente,0.87
"Comprar materias primas para la produccion del proximo mes.",Compras y Abastecimiento,0.76
"Desarrollar un nuevo algoritmo de recomendacion para la plataforma de ventas.",Investigacion y Desarrollo,0.88
"Revisar los contratos de los proveedores para asegurar terminos favorables.",Legal y Cumplimiento,0.82
"Organizar la reunion trimestral de revision de objetivos.",Administracion y Gestion General,0.79
"Capacitar al personal en el uso de herramientas de analisis de datos.",Recursos Humanos,0.80
"Auditar los gastos de marketing del ultimo trimestre.",Finanzas y Contabilidad,0.86
"Crear una estrategia de ventas para expandirse a nuevos mercados.",Ventas y Marketing,0.84
"Implementar un sistema de mantenimiento predictivo para la maquinaria.",Operaciones o Produccion,0.88
"Migrar las aplicaciones internas a un servidor mas seguro.",Tecnologia de la Informacion,0.92
"Resolver las solicitudes de reembolso de los clientes de manera agil.",Atencion al Cliente,0.81
"Comprar equipos de seguridad para el personal de almacen.",Compras y Abastecimiento,0.73
"Investigar nuevas tecnologias para mejorar la calidad del producto.",Investigacion y Desarrollo,0.87
"Revisar las politicas de privacidad de datos de los empleados.",Legal y Cumplimiento,0.85
